name,description,price,stock,category
USB Flash Drive,64GB high-speed USB drive,14.99,150,Electronics
Portable Charger,10000mAh portable power bank,29.99,80,Electronics
Mini Projector,Compact HD projector for home entertainment,149.99,20,Electronics
Portable Air Compressor,Compact tire inflator for car tires,49.99,60,Automotive
Camping Tent,4-person waterproof camping tent,99.99,15,Outdoor
Sleeping Bag,Cold-weather sleeping bag,49.99,40,Outdoor
Portable BBQ Grill,Charcoal grill for outdoor cooking,79.99,25,Outdoor
Hammock,Outdoor hammock with stand,59.99,30,Outdoor
Fishing Rod,Telescopic fishing rod and reel combo,39.99,50,Outdoor
Yoga Mat,Thick non-slip yoga mat,19.99,100,Fitness
Kettlebell,Adjustable kettlebell for strength training,49.99,20,Fitness
Exercise Bike,Indoor stationary exercise bike,199.99,10,Fitness
Treadmill,Foldable treadmill for home use,499.99,5,Fitness
Golf Set,Complete golf club set with bag,299.99,10,Sports
Basketball,Official size and weight basketball,19.99,80,Sports
Soccer Ball,High-quality soccer ball for practice,24.99,100,Sports
Tennis Racket,Lightweight tennis racket for beginners,29.99,60,Sports
Dumbbell Set,Adjustable dumbbell set with stand,149.99,15,Fitness
Punching Bag,Heavy-duty punching bag with gloves,99.99,20,Fitness
Car Vacuum Cleaner,Portable vacuum cleaner for cars,29.99,70,Automotive
Car Cover,All-weather car cover,49.99,40,Automotive
Jump Starter,Portable car battery jump starter,89.99,20,Automotive
Roof Rack,Universal roof rack for cars,119.99,10,Automotive
Men's Cargo Pants,Durable cargo pants with multiple pockets,39.99,60,Clothing
Women's Sweatshirt,Cozy fleece sweatshirt,34.99,70,Clothing
Children's Rain Boots,Waterproof boots for kids,24.99,50,Clothing
Kids' Backpack,Colorful school backpack for children,19.99,90,Accessories
Picnic Basket,Wicker picnic basket with accessories,49.99,15,Outdoor
Pet Bed,Soft and cozy bed for pets,29.99,40,Pet Supplies
Cat Scratching Post,Sisal rope scratching post for cats,19.99,50,Pet Supplies
Dog Leash,Retractable dog leash with lock button,14.99,100,Pet Supplies
